Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_boomerang/asgngoto/ia32_elf_by_boomerang/subject.exe'
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x08048824
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'f_setarg', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'f_setsig', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'f_init', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 's_wsle', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'do_lio', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'e_wsle', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 's_rsle', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'e_rsle', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Found 3 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'atexit'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'atexit'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'atexit'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'MAIN__'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'MAIN__'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Restarting decompilation of 'MAIN__' because indirect jumps or calls have been analyzed
Msg   | src/boomerang/decomp/IndirectJumpAnalyz | Switch table entry branches to past end of text section 0x804879308048760
Msg   | src/boomerang/decomp/IndirectJumpAnalyz | Assuming the end of the pointer-array has been reached at index 0
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Re-visiting procedure 'MAIN__'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'MAIN__'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'MAIN__'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'MAIN__'
