=== Using options:--aggressive-branch-removal
080486C0: warning: Call target address 00000000 is invalid.
08048574: warning: Unable to resolve imported reference e_wsle.
080485B4: warning: Unable to resolve imported reference e_rsle.
08048604: warning: Unable to resolve imported reference f_setarg.
080485E4: warning: Unable to resolve imported reference f_setsig.
080485D4: warning: Unable to resolve imported reference f_init.
08048614: warning: Unable to resolve imported reference s_wsle.
08048564: warning: Unable to resolve imported reference do_lio.
08048574: warning: Unable to resolve imported reference e_wsle.
08048594: warning: Unable to resolve imported reference s_rsle.
08048564: warning: Unable to resolve imported reference do_lio.
080485B4: warning: Unable to resolve imported reference e_rsle.
08048614: warning: Unable to resolve imported reference s_wsle.
08048604: warning: Unable to resolve imported reference f_setarg.
080485E4: warning: Unable to resolve imported reference f_setsig.
080485D4: warning: Unable to resolve imported reference f_init.
08048594: warning: Unable to resolve imported reference s_rsle.
08048584: warning: Unable to resolve imported reference f_exit.
08048564: warning: Unable to resolve imported reference do_lio.
