Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_boomerang/hello/ppc_macho_by_boomerang_unknown_variant/subject.exe'
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x00002cf4
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'objc_msgSend', please update signatures!
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          |  184 | Found 1 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  450 | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   38 | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'main'
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |    0 {*32* r3, *v* r4, *v* r5, *v* r6, *v* r7, *v* r8, *v* r9, *v* r10, *v* r11, *v* r12} := CALL objc_msgSend(
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               )
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Reaching definitions: r[tmp + 30]=r[tmp + 30]{0},   r0=machine("%LR"),   r1=r1{0} - 96,   r3=r3{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r4=r4{0},   r9=machine("%LR") + 0x12fc,   r11=machine("%LR") + 0x12f4,   r30=r1{0} - 96,
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r31=machine("%LR"),   m[r1{0} + 8]=machine("%LR"),   m[r1{0} - 4]=r[tmp + 30]{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 8]=r[tmp + 30]{0},   m[r1{0} - 96]=r1{0},   tmp=1
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Live variables: r3,  r4,  r5,  r6,  r7,  r8,  r9,  r10,  r11,  r12
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |    0 {*32* r3, *v* r4, *v* r5, *v* r6, *v* r7, *v* r8, *v* r9, *v* r10, *v* r11, *v* r12} := CALL objc_msgSend(
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               )
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Reaching definitions: r[tmp + 30]=r[tmp + 30]{0},   r0=r3{0},   r1=r1{0} - 96,   r3=r3{0},   r4=r4{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r5=r5{0},   r6=r6{0},   r7=r7{0},   r8=r8{0},   r9=machine("%LR") + 0x12f8,   r10=r10{0},   r11=r11{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r12=r12{0},   r30=r1{0} - 96,   r31=machine("%LR"),   m[r1{0} + 8]=machine("%LR"),
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 4]=r[tmp + 30]{0},   m[r1{0} - 8]=r[tmp + 30]{0},   m[r1{0} - 32]=r3{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 96]=r1{0},   tmp=1
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Live variables: r3,  r4,  r5,  r6,  r7,  r8,  r9,  r10,  r11,  r12
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'main'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |    0 {*v* r3, *v* r4, *v* r5, *v* r6, *v* r7, *v* r8, *v* r9, *v* r10, *v* r11, *v* r12} := CALL objc_msgSend(
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               )
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Reaching definitions: r[tmp + 30]=r[tmp + 30]{0},   r0=machine("%LR"),   r1=r1{0} - 96,   r3=r3{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r4=r4{0},   r9=machine("%LR") + 0x12fc,   r11=machine("%LR") + 0x12f4,   r30=r1{0} - 96,
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r31=machine("%LR"),   m[r1{0} + 8]=machine("%LR"),   m[r1{0} - 4]=r[tmp + 30]{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 8]=r[tmp + 30]{0},   m[r1{0} - 96]=r1{0},   tmp=1
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Live variables: <None>
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |    0 {*v* r3, *v* r4, *v* r5, *v* r6, *v* r7, *v* r8, *v* r9, *v* r10, *v* r11, *v* r12} := CALL objc_msgSend(
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               )
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Reaching definitions: r[tmp + 30]=r[tmp + 30]{0},   r0=r3{0},   r1=r1{0} - 96,   r3=r3{0},   r4=r4{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r5=r5{0},   r6=r6{0},   r7=r7{0},   r8=r8{0},   r9=machine("%LR") + 0x12f8,   r10=r10{0},   r11=r11{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r12=r12{0},   r30=r1{0} - 96,   r31=machine("%LR"),   m[r1{0} + 8]=machine("%LR"),
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 4]=r[tmp + 30]{0},   m[r1{0} - 8]=r[tmp + 30]{0},   m[r1{0} - 32]=r3{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 96]=r1{0},   tmp=1
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Live variables: <None>
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  191 | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |    0 {*v* r3, *v* r4, *v* r5, *v* r6, *v* r7, *v* r8, *v* r9, *v* r10, *v* r11, *v* r12} := CALL objc_msgSend(
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               )
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Reaching definitions: r[tmp + 30]=r[tmp + 30]{0},   r0=machine("%LR"),   r1=r1{0} - 96,   r3=r3{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r4=r4{0},   r9=machine("%LR") + 0x12fc,   r11=machine("%LR") + 0x12f4,   r30=r1{0} - 96,
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r31=machine("%LR"),   m[r1{0} + 8]=machine("%LR"),   m[r1{0} - 4]=r[tmp + 30]{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 8]=r[tmp + 30]{0},   m[r1{0} - 96]=r1{0},   tmp=1
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Live variables: <None>
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |    0 {*v* r3, *v* r4, *v* r5, *v* r6, *v* r7, *v* r8, *v* r9, *v* r10, *v* r11, *v* r12} := CALL objc_msgSend(
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               )
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Reaching definitions: r[tmp + 30]=r[tmp + 30]{0},   r0=r3{0},   r1=r1{0} - 96,   r3=r3{0},   r4=r4{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r5=r5{0},   r6=r6{0},   r7=r7{0},   r8=r8{0},   r9=machine("%LR") + 0x12f8,   r10=r10{0},   r11=r11{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 r12=r12{0},   r30=r1{0} - 96,   r31=machine("%LR"),   m[r1{0} + 8]=machine("%LR"),
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 4]=r[tmp + 30]{0},   m[r1{0} - 8]=r[tmp + 30]{0},   m[r1{0} - 32]=r3{0},
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |                 m[r1{0} - 96]=r1{0},   tmp=1
Msg   | src/boomerang/ssl/statements/CallStatem |  958 |               Live variables: <None>
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  198 | Transforming from SSA form...
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r3{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r4{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r5{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r6{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r7{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r8{0}!!
