Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_dcc/fibo/ia32_mz_from_dcc_long/subject.exe'
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 1: Offset 1 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 7: Offset 3932275 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 8: Offset 3932258 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 9: Offset 3932241 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 10: Offset 3932230 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 11: Offset 3932213 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 12: Offset 3932195 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 13: Offset 3932178 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 14: Offset 40567104 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 15: Offset 40567100 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 16: Offset 40567096 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 17: Offset 4849720 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 21: Offset 5243651 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 22: Offset 5243504 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 23: Offset 5243465 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 24: Offset 5243318 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 25: Offset 5243208 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 26: Offset 5243153 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 27: Offset 5243121 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 28: Offset 5243058 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 29: Offset 5242946 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 30: Offset 5242905 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 31: Offset 8454461 is not valid
