Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_decompile-it.com/elinks/ia32_elf_from_website/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x080b53d0
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__errno_location', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__snprintf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__vasprintf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__vfprintf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__printf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__ctype_b_loc', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'mempcpy', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'Gpm_Close', please update signatures!
