Using options:
08048F24: warning: Unable to resolve imported reference !__gmon_start__.
08049300: error: The method or operation is not implemented.
08048EE4: warning: Unable to resolve imported reference !write_history.
080490C4: warning: Unable to resolve imported reference !getopt.
08049074: warning: Unable to resolve imported reference !ioctl.
08048EC4: warning: Unable to resolve imported reference !rl_initialize.
08049204: warning: Unable to resolve imported reference !using_history.
08049154: warning: Unable to resolve imported reference !stifle_history.
08048FD4: warning: Unable to resolve imported reference !tigetnum.
08048F54: warning: Unable to resolve imported reference !read_history.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049124: warning: Unable to resolve imported reference !chdir.
080491E4: warning: Unable to resolve imported reference !getcwd.
080490B4: warning: Unable to resolve imported reference !_setjmp.
08049104: warning: Unable to resolve imported reference !__finite.
08048E94: warning: Unable to resolve imported reference !fmod.
08048FE4: warning: Unable to resolve imported reference !modf.
08048FE4: warning: Unable to resolve imported reference !modf.
08049104: warning: Unable to resolve imported reference !__finite.
08049104: warning: Unable to resolve imported reference !__finite.
08049164: warning: Unable to resolve imported reference !readline.
08049254: warning: Unable to resolve imported reference !add_history.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
080491D4: warning: Unable to resolve imported reference !__ctype_tolower_loc.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08049094: warning: Unable to resolve imported reference !isatty.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08048F64: warning: Unable to resolve imported reference !strtod.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
080491F4: warning: Unable to resolve imported reference !log.
08049194: warning: Unable to resolve imported reference !atan2.
080492A4: warning: Unable to resolve imported reference !sincos.
08049004: warning: Unable to resolve imported reference !exp.
08048FA4: warning: Unable to resolve imported reference !pow.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08048EF4: warning: Unable to resolve imported reference !__longjmp_chk.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048F44: warning: Unable to resolve imported reference !__isinf.
08048F44: warning: Unable to resolve imported reference !__isinf.
08049104: warning: Unable to resolve imported reference !__finite.
08049104: warning: Unable to resolve imported reference !__finite.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08048E94: warning: Unable to resolve imported reference !fmod.
08049084: warning: Unable to resolve imported reference !__ctype_b_loc.
08049284: warning: Unable to resolve imported reference !__strdup.
