Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_decompile-it.com/optic/ia32_elf_from_website/subject.exe'
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x080707e0
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_store_exe_path', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_set_args', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_set_options', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_write', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_transfer_character', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_write_done', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_read', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_read_done', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_string_trim', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_open', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_rewind', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_compare_string', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_date_and_time', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_transfer_integer', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_string_index', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_concat_string', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_transfer_array', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_transfer_real', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_backspace', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_internal_pack', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_inquire', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_gfortran_st_close', please update signatures!
