Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_decompile-it.com/pcb/ia32_elf_from_website/subject.exe'
Warn  | src/boomerang/db/binary/BinarySymbolTab |   47 | Symbol 'yytext' already exists in the global symbol table!
Warn  | src/boomerang/db/binary/BinarySymbolTab |   47 | Symbol 'FlagHaveRegex' already exists in the global symbol table!
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | 1055 | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | 1055 | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | 1055 | Unhandled x86 relocation type 5
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x080a1390
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'setbuf', please update signatures!
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x080a143c: 0x0F 0x44 0xCB 0x83
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__sprintf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__fprintf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'bind_textdomain_codeset', please update signatures!
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x080a1a7f: 0x0F 0x4D 0x0D 0xD0
Error | src/boomerang/db/proc/ProcCFG.cpp       |  331 | CFG is not well formed: BB at address 0x080a1438 is incomplete
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__realpath_chk', please update signatures!
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x080a09e4: 0x0F 0x44 0xC3 0x89
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x080a111f: 0x0F 0x44 0xC2 0x89
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x080aa95f: 0x0F 0x44 0xDA 0x89
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__printf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'opendir', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'readdir', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'dlopen', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'dlsym', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'dlerror', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__stack_chk_fail', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__vfprintf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'fputc', please update signatures!
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x080d77c0: 0x0F 0x44 0xD1 0x8B
Error | src/boomerang/db/proc/ProcCFG.cpp       |  331 | CFG is not well formed: BB at address 0x080a1438 is incomplete
Error | src/boomerang/db/proc/ProcCFG.cpp       |  331 | CFG is not well formed: BB at address 0x080a09e2 is incomplete
Error | src/boomerang/db/proc/ProcCFG.cpp       |  331 | CFG is not well formed: BB at address 0x080a1112 is incomplete
Error | src/boomerang/db/proc/ProcCFG.cpp       |  331 | CFG is not well formed: BB at address 0x080aa958 is incomplete
Error | src/boomerang/core/Project.cpp          |  310 | Aborting load due to decode failure
