Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_decompile-it.com/w3m/ia32_elf_from_website/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x0804b07e
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GC_malloc', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GC_set_warn_proc', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GC_malloc_atomic', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__errno_location', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__sigsetjmp', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'Gpm_Wgetch', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GC_free', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GC_realloc', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'inet_ntop', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'strcasestr', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'Gpm_Close', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'Gpm_Open', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__lxstat', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'setenv', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__isoc99_sscanf', please update signatures!
