Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_explorerplusplus.com/version_1.3.4/ia32_pe_from_website/subject.exe'
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x00474780
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OleInitialize', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SHGetFolderLocation', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'CoTaskMemFree', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'CreateMutexW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SHELL32_dll_23', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OleUninitialize', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SetForegroundWindow', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SetUnhandledExceptionFilter', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'ShellExecuteW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SetWindowPlacement', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'StrCmpW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SHDeleteKeyW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetCurrentProcessId', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OpenProcess', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetModuleFileNameExW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'PathRemoveFileSpecW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'PathAppendW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'CreateFileW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OLEAUT32_dll_8', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OLEAUT32_dll_2', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OLEAUT32_dll_9', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'RegQueryValueExW', please update signatures!
