=== Using options:--aggressive-branch-removal
subject.exe: warning: Win32 X86-64 main procedure finder not implemented yet.
MSVC RTTI scan found 151 complete object locators
0000000140060D66: warning: Unable to resolve imported reference KERNEL32.dll!RtlVirtualUnwind.
0000000140060D66: warning: Unable to resolve imported reference KERNEL32.dll!RtlVirtualUnwind.
0000000140052E21: warning: Call target address 0000000000000000 is invalid.
000000014005594E: warning: Call target address 0000000000000000 is invalid.
0000000140052E5B: warning: Call target address 0000000000000000 is invalid.
0000000140052EE2: warning: Call target address 0000000000000000 is invalid.
000000014008EE21: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
000000014008EFA7: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
000000014008F17E: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
000000014008F194: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
000000014008F47C: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400B03D9: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400B03ED: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400B03FF: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
0000000140084E48: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140084E48: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140084C56: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
0000000140084C69: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
0000000140084C7A: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
0000000140084C85: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140084C85: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140084C8F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140084C8F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140084D1C: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140084D1C: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007F860: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
000000014008F4DF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
000000014008F4DF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
000000014007DCDB: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
000000014008F5D3: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
000000014008F552: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
000000014008F552: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
0000000140060D60: warning: Unable to resolve imported reference KERNEL32.dll!RtlUnwindEx.
00000001400DA9C3: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
000000014007E0BD: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
000000014007E0DF: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E109: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
000000014007E14E: warning: Unable to resolve imported reference SHLWAPI.dll!StrRetToBufW.
000000014008574B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008574B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140085690: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400856A7: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400856BC: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400856C7: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400856C7: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400856D4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400856D4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400CD5B4: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400CD5B4: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
0000000140090E73: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
0000000140090E73: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
0000000140090ECB: warning: Unable to resolve imported reference SHLWAPI.dll!SHAutoComplete.
00000001400C51E9: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400C51E9: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
000000014001CF2F: warning: Unable to resolve imported reference gdiplus.dll!GdiplusStartup.
000000014007CE9B: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
000000014007CE9B: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
0000000140091865: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
000000014009187B: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
000000014001F08B: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
000000014001F08B: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
000000014001F6E7: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400B8704: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400B4BDF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_2.
00000001400B4BDF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_2.
00000001400AF574: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400C0D0D: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400C0D0D: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400C0D19: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
00000001400C0D19: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
00000001400C0D22: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_16.
00000001400C0D22: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_16.
00000001400C0D5A: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400C0D90: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400C0DAA: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
