Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_holdec/bnd_challenge/ia32_pe/subject.exe'
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x00401a00
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetCurrentThreadId', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'ReadFile', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'DecodePointer', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__debugbreak', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'IsProcessorFeaturePresent', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'InitializeCriticalSectionAndSpinCount', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SetFilePointerEx', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetProcessHeap', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetCurrentProcess', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'TerminateProcess', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'EncodePointer', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetConsoleMode', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetConsoleCP', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'WideCharToMultiByte', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'IsDebuggerPresent', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OutputDebugStringW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'GetModuleHandleExW', please update signatures!
