Analyzing './from_holdec/bnd_challenge/ia32_pe/subject.exe' as a x86 32 PECOFF binary file.

0 Procs, 0 Labels, 0 Branches, 0 / 0 kB covered
Matching signatures...
0 Procs, 0 Labels, 0 Branches, 0 / 60 kB covered
0 Procs, 0 Labels, 0 Branches, 0 / 60 kB covered
Separating code and data...
0 Procs, 0 Labels, 0 Branches, 0 / 60 kB covered
0 Procs, 2687 Labels, 3086 Branches, 0 / 60 kB covered
0 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
0 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
226 Procs, 2688 Labels, 3086 Branches, 0 / 60 kB covered
