Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_holdec/duffs_device/ia32_elf_gcc_O0/subject.exe'
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x08048704
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          | Found 5 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'copy1_four_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'copy1_four_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'copy1_four_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'copy1_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'copy1_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'copy1_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'copy2_four_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'copy2_four_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'copy2_four_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'copy2_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'copy2_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Restarting decompilation of 'copy2_eight_times' because indirect jumps or calls have been analyzed
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Re-visiting procedure 'copy2_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'copy2_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'copy2_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'copy2_eight_times'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'main'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Performing global type analysis...
