Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_holdec/movfuscator/hanoi/ia32_elf_movcc/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad |  299 | Not adding 0 sized section '.eh_frame'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad |  521 | Skipping symbol END with unknown location
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | 1055 | Unhandled x86 relocation type 5
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x0805254d
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0805645e: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0805645d: Address is not mapped to a section
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x0805645b: 0x8E 0xC8 0xFF 0xFF
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          |  184 | Found 1 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  450 | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   38 | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'main'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  191 | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  198 | Transforming from SSA form...
Error | src/boomerang/db/proc/UserProc.cpp      |  381 | No implicit definition for parameter m[r28{-} + 4]!
Warn  | src/boomerang/passes/late/FromSSAFormPa |  389 | No symbol mapping for parameter m[r28{-} + 4]
Error | src/boomerang/db/proc/UserProc.cpp      |  381 | No implicit definition for parameter m[r28{-} + 8]!
Warn  | src/boomerang/passes/late/FromSSAFormPa |  389 | No symbol mapping for parameter m[r28{-} + 8]
Warn  | src/boomerang/db/proc/UserProc.cpp      |  755 | Unknown def for RefExp 'r28{-}' in 'main'
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r28{-}!!
Warn  | src/boomerang/db/proc/UserProc.cpp      |  755 | Unknown def for RefExp 'r28{-}' in 'main'
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r28{-}!!
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  127 | Removing unused global variables...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   92 | Decompilation finished.
Msg   | src/boomerang/core/Project.cpp          |  227 | Generating code...
Error | src/boomerang/codegen/CCodeGenerator.cp |  573 | Parameter m[r28 + 4] is not opParam!
Error | src/boomerang/codegen/CCodeGenerator.cp |  573 | Parameter m[r28 + 8] is not opParam!
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  460 | Output written to '_output'
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  468 | Completed in some time
