=== Using options:--aggressive-branch-removal
0804911D: warning: Call target address 00000000 is invalid.
0804A03C: warning: x86 instruction 'popfw' is not supported yet.
0804B82E: warning: x86 instruction 'popfw' is not supported yet.
0804E747: warning: x86 instruction 'popfw' is not supported yet.
08049177: warning: x86 instruction 'popfw' is not supported yet.
08049263: warning: x86 instruction 'popfw' is not supported yet.
08049349: warning: x86 instruction 'popfw' is not supported yet.
08049430: warning: x86 instruction 'popfw' is not supported yet.
08049524: warning: x86 instruction 'popfw' is not supported yet.
08049611: warning: x86 instruction 'popfw' is not supported yet.
080496F8: warning: x86 instruction 'popfw' is not supported yet.
080497E0: warning: x86 instruction 'popfw' is not supported yet.
080498D6: warning: x86 instruction 'popfw' is not supported yet.
080499C4: warning: x86 instruction 'popfw' is not supported yet.
08049AAC: warning: x86 instruction 'popfw' is not supported yet.
08049B95: warning: x86 instruction 'popfw' is not supported yet.
08049C8B: warning: x86 instruction 'popfw' is not supported yet.
08049D78: warning: x86 instruction 'popfw' is not supported yet.
08049E5F: warning: x86 instruction 'popfw' is not supported yet.
08049F47: warning: x86 instruction 'popfw' is not supported yet.
0804A129: warning: x86 instruction 'popfw' is not supported yet.
0804A210: warning: x86 instruction 'popfw' is not supported yet.
0804A2F8: warning: x86 instruction 'popfw' is not supported yet.
0804A3ED: warning: x86 instruction 'popfw' is not supported yet.
0804A4DA: warning: x86 instruction 'popfw' is not supported yet.
0804A5C1: warning: x86 instruction 'popfw' is not supported yet.
0804A6A9: warning: x86 instruction 'popfw' is not supported yet.
0804A79F: warning: x86 instruction 'popfw' is not supported yet.
0804A88D: warning: x86 instruction 'popfw' is not supported yet.
0804A975: warning: x86 instruction 'popfw' is not supported yet.
0804AA5E: warning: x86 instruction 'popfw' is not supported yet.
0804AB53: warning: x86 instruction 'popfw' is not supported yet.
0804AC3F: warning: x86 instruction 'popfw' is not supported yet.
0804AD25: warning: x86 instruction 'popfw' is not supported yet.
0804AE0C: warning: x86 instruction 'popfw' is not supported yet.
0804AEFF: warning: x86 instruction 'popfw' is not supported yet.
0804AFEB: warning: x86 instruction 'popfw' is not supported yet.
