Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_pouet.net/with_source_378/ia32_elf/subject.exe'
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_Init', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_OpenAudio', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_SetVideoMode', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_ShowCursor', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_PauseAudio', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_GetTicks', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_GL_SwapBuffers', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_PollEvent', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function 'SDL_Quit', please update signatures!
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x08048930
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x08048714: 0x60 0xFD 0xBE 0xB8
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x080491c0: 0x60 0x31 0xC0 0x50
Msg   | src/boomerang/core/Project.cpp          |  184 | Found 6 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  450 | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   38 | Decompiling entry point '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'proc_0x08048714'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'proc_0x08048714'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'proc_0x08048714'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'proc_0x080491c0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'proc_0x080491c0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'proc_0x080491c0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'proc_0x08048e99'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'proc_0x08048b1e'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'proc_0x08048a31'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'proc_0x08048a31'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'proc_0x08048a31'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'proc_0x08048b1e'
