Analyzing './from_pouet.net/with_source_383/ia32_elf/subject.exe' as a x86 32 ELF binary file.

0 Procs, 0 Labels, 0 Branches, 0 / 0 kB covered
./from_pouet.net/with_source_383/ia32_elf/subject.exe: 0 sections starting at 0x00000000
Matching signatures...
0 Procs, 0 Labels, 0 Branches, 0 / 7 kB covered
0 Procs, 0 Labels, 0 Branches, 0 / 7 kB covered
Separating code and data...
0 Procs, 0 Labels, 0 Branches, 0 / 7 kB covered
0 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
45 Procs, 265 Labels, 330 Branches, 5 / 7 kB covered
