Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_pouet.net/with_source_384/ia32_elf/subject.exe'
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__libc_start_main', please update signatures!
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x0804922c
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SDL_Init', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SDL_SetVideoMode', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SDL_ShowCursor', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'glEnableClientState', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'glLightfv', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SDL_PollEvent', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'glColor4f', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SDL_GL_SwapBuffers', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SDL_Quit', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'glNormalPointer', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'glVertexPointer', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'glDrawElements', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Found 3 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x0804908a'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x080489e4'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Performing recursion group analysis for 1 recursive procedures: 
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |     proc_0x080489e4
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'proc_0x080489e4'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'proc_0x0804908a'
