Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_pouet.net/with_source_394/ia32_mz/subject.exe'
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 0: Offset 242614384 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 1: Offset 242614405 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 2: Offset 242614428 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 3: Offset 242614533 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 4: Offset 242614663 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 5: Offset 242614857 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 6: Offset 242615016 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 7: Offset 242615266 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 8: Offset 242615232 is not valid
Warn  | src/boomerang-loaders/exe/dos/ExeBinary | Cannot read Exe relocation entry 9: Offset 242615370 is not valid
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Warn  | src/boomerang/db/binary/BinaryImage.cpp | Invalid read at address 0x0000eba2: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. | Attempted to decode outside any known section at address 0x0000eba2
Warn  | src/boomerang/frontend/pentium/PentiumF | main function not found, falling back to entry point
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x0000eba2
Warn  | src/boomerang/db/binary/BinaryImage.cpp | Invalid read at address 0x0000eba2: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. | Attempted to decode outside any known section at address 0x0000eba2
Warn  | src/boomerang/db/binary/BinaryImage.cpp | Invalid read at address 0x0000eba5: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp | Invalid read at address 0x0000eba4: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp | Invalid read at address 0x0000eba3: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp | Invalid read at address 0x0000eba2: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp | Invalid read at address 0x0000eba2: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. | Attempted to decode outside any known section at address 0x0000eba2
Warn  | src/boomerang/frontend/pentium/PentiumF | main function not found, falling back to entry point
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          | Found 1 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of '_start'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Transforming from SSA form...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Removing unused global variables...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompilation finished.
Msg   | src/boomerang/core/Project.cpp          | Generating code...
Warn  | src/boomerang/codegen/CCodeGenerator.cp | No out edge for BB at address 0x0000eba2, in proc _start
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Output written to '_output'
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Completed in some time
