Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_rec/hd/ia32_elf_stripped/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__setfpucw', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__libc_init', please update signatures!
Warn  | src/boomerang/frontend/pentium/PentiumF | main function not found, falling back to entry point
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x080485a0
Warn  | src/boomerang/frontend/pentium/PentiumF | main function not found, falling back to entry point
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '_xstat', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Found 9 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure '_init'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x08048980'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'proc_0x08048980'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'proc_0x08048980'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure '_init'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of '_init'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x080488e0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x080487f0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x08048950'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'proc_0x08048950'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'proc_0x08048950'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x08048660'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'proc_0x08048660'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'proc_0x08048660'
