Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_rec/hd2/ia32_elf_from_rec_gcc4O/subject.exe'
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x080488a0
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__stack_chk_fail', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__sprintf_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__strcat_chk', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               |  391 | Unknown library function '__printf_chk', please update signatures!
Msg   | src/boomerang/core/Project.cpp          |  184 | Found 3 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  450 | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   38 | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'hexdump'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'dumpline'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'dumpline'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'dumpline'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'hexdump'
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'hexdump'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'main'
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'main'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Warn  | src/boomerang/db/signature/Signature.cp |  244 | Could not set type for unknown parameter expression m[r28{0} + 8]
Warn  | src/boomerang/db/signature/Signature.cp |  244 | Could not set type for unknown parameter expression m[r28{0} + 4]
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  191 | Removing unused returns...
Warn  | src/boomerang/db/signature/Signature.cp |  244 | Could not set type for unknown parameter expression m[r28{0} + 8]
Warn  | src/boomerang/db/signature/Signature.cp |  244 | Could not set type for unknown parameter expression m[r28{0} + 4]
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  191 | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Warn  | src/boomerang/db/signature/Signature.cp |  244 | Could not set type for unknown parameter expression m[r28{0} + 8]
Warn  | src/boomerang/db/signature/Signature.cp |  244 | Could not set type for unknown parameter expression m[r28{0} + 4]
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Warn  | src/boomerang/ssl/type/NamedType.cpp    |   41 | Unknown size for named type timespec
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  198 | Transforming from SSA form...
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r26{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r26{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r29{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r30{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r29{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r30{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for m[esp - 40]{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
Warn  | src/boomerang/visitor/stmtmodifier/Stmt |  131 | Forcing type of local 'edx' from '/*signed?*/int' to 'void' due to library constraints
Warn  | src/boomerang/visitor/stmtmodifier/Stmt |  131 | Forcing type of local 'esp' from 'int' to 'void' due to library constraints
Warn  | src/boomerang/visitor/stmtmodifier/Stmt |  131 | Forcing type of local 'eax' from '/*signed?*/int' to '__size32' due to library constraints
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r25{0}!!
