Analyzing './from_snowman/other-030_hello/ia32_pe/subject.exe' as a x86 32 PECOFF binary file.

0 Procs, 0 Labels, 0 Branches, 0 / 0 kB covered
Matching signatures...
0 Procs, 0 Labels, 0 Branches, 0 / 3 kB covered
0 Procs, 0 Labels, 0 Branches, 0 / 3 kB covered
Separating code and data...
0 Procs, 0 Labels, 0 Branches, 0 / 3 kB covered
0 Procs, 136 Labels, 119 Branches, 0 / 3 kB covered
0 Procs, 137 Labels, 123 Branches, 0 / 3 kB covered
0 Procs, 155 Labels, 139 Branches, 0 / 3 kB covered
0 Procs, 163 Labels, 146 Branches, 0 / 3 kB covered
0 Procs, 163 Labels, 146 Branches, 0 / 3 kB covered
0 Procs, 164 Labels, 146 Branches, 0 / 3 kB covered
0 Procs, 166 Labels, 147 Branches, 0 / 3 kB covered
0 Procs, 166 Labels, 147 Branches, 0 / 3 kB covered
0 Procs, 166 Labels, 147 Branches, 0 / 3 kB covered
0 Procs, 168 Labels, 148 Branches, 0 / 3 kB covered
0 Procs, 170 Labels, 149 Branches, 0 / 3 kB covered
0 Procs, 220 Labels, 191 Branches, 0 / 3 kB covered
0 Procs, 221 Labels, 192 Branches, 0 / 3 kB covered
0 Procs, 221 Labels, 192 Branches, 0 / 3 kB covered
0 Procs, 221 Labels, 192 Branches, 0 / 3 kB covered
0 Procs, 221 Labels, 192 Branches, 0 / 3 kB covered
0 Procs, 222 Labels, 192 Branches, 0 / 3 kB covered
0 Procs, 222 Labels, 192 Branches, 0 / 3 kB covered
0 Procs, 222 Labels, 192 Branches, 0 / 3 kB covered
0 Procs, 232 Labels, 201 Branches, 0 / 3 kB covered
0 Procs, 250 Labels, 216 Branches, 0 / 3 kB covered
0 Procs, 250 Labels, 216 Branches, 0 / 3 kB covered
0 Procs, 252 Labels, 217 Branches, 0 / 3 kB covered
0 Procs, 254 Labels, 218 Branches, 0 / 3 kB covered
0 Procs, 254 Labels, 218 Branches, 0 / 3 kB covered
0 Procs, 254 Labels, 218 Branches, 0 / 3 kB covered
0 Procs, 254 Labels, 218 Branches, 0 / 3 kB covered
0 Procs, 254 Labels, 218 Branches, 0 / 3 kB covered
0 Procs, 254 Labels, 218 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 256 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 257 Labels, 219 Branches, 0 / 3 kB covered
0 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
