Analyzing './from_snowman/other-030_hello/x64_elf/subject.exe' as a x86_64 32 PECOFF binary file.

0 Procs, 0 Labels, 0 Branches, 0 / 0 kB covered
Matching signatures...
0 Procs, 0 Labels, 0 Branches, 0 / 7 kB covered
0 Procs, 0 Labels, 0 Branches, 0 / 7 kB covered
Separating code and data...
0 Procs, 0 Labels, 0 Branches, 0 / 7 kB covered
0 Procs, 291 Labels, 278 Branches, 0 / 7 kB covered
0 Procs, 291 Labels, 278 Branches, 0 / 7 kB covered
0 Procs, 292 Labels, 278 Branches, 0 / 7 kB covered
0 Procs, 294 Labels, 279 Branches, 0 / 7 kB covered
0 Procs, 294 Labels, 279 Branches, 0 / 7 kB covered
0 Procs, 294 Labels, 279 Branches, 0 / 7 kB covered
0 Procs, 296 Labels, 280 Branches, 0 / 7 kB covered
0 Procs, 298 Labels, 281 Branches, 0 / 7 kB covered
0 Procs, 336 Labels, 318 Branches, 0 / 7 kB covered
0 Procs, 338 Labels, 319 Branches, 0 / 7 kB covered
0 Procs, 338 Labels, 319 Branches, 0 / 7 kB covered
0 Procs, 338 Labels, 319 Branches, 0 / 7 kB covered
0 Procs, 338 Labels, 319 Branches, 0 / 7 kB covered
0 Procs, 338 Labels, 319 Branches, 0 / 7 kB covered
0 Procs, 378 Labels, 360 Branches, 0 / 7 kB covered
0 Procs, 378 Labels, 360 Branches, 0 / 7 kB covered
0 Procs, 426 Labels, 405 Branches, 0 / 7 kB covered
0 Procs, 430 Labels, 408 Branches, 0 / 7 kB covered
0 Procs, 434 Labels, 410 Branches, 0 / 7 kB covered
0 Procs, 441 Labels, 416 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 443 Labels, 417 Branches, 0 / 7 kB covered
0 Procs, 448 Labels, 423 Branches, 0 / 7 kB covered
0 Procs, 448 Labels, 423 Branches, 0 / 7 kB covered
0 Procs, 448 Labels, 423 Branches, 0 / 7 kB covered
0 Procs, 448 Labels, 423 Branches, 0 / 7 kB covered
0 Procs, 452 Labels, 427 Branches, 0 / 7 kB covered
0 Procs, 452 Labels, 427 Branches, 0 / 7 kB covered
0 Procs, 452 Labels, 427 Branches, 0 / 7 kB covered
0 Procs, 452 Labels, 427 Branches, 0 / 7 kB covered
0 Procs, 457 Labels, 437 Branches, 0 / 7 kB covered
0 Procs, 465 Labels, 446 Branches, 0 / 7 kB covered
0 Procs, 483 Labels, 461 Branches, 0 / 7 kB covered
0 Procs, 483 Labels, 461 Branches, 0 / 7 kB covered
0 Procs, 483 Labels, 461 Branches, 0 / 7 kB covered
0 Procs, 485 Labels, 462 Branches, 0 / 7 kB covered
0 Procs, 487 Labels, 463 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 489 Labels, 464 Branches, 0 / 7 kB covered
0 Procs, 491 Labels, 465 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 493 Labels, 466 Branches, 0 / 7 kB covered
0 Procs, 495 Labels, 467 Branches, 0 / 7 kB covered
0 Procs, 497 Labels, 468 Branches, 0 / 7 kB covered
0 Procs, 499 Labels, 469 Branches, 0 / 7 kB covered
0 Procs, 501 Labels, 470 Branches, 0 / 7 kB covered
0 Procs, 503 Labels, 471 Branches, 0 / 7 kB covered
0 Procs, 505 Labels, 472 Branches, 0 / 7 kB covered
0 Procs, 507 Labels, 473 Branches, 0 / 7 kB covered
0 Procs, 509 Labels, 474 Branches, 0 / 7 kB covered
0 Procs, 511 Labels, 475 Branches, 0 / 7 kB covered
0 Procs, 513 Labels, 476 Branches, 0 / 7 kB covered
0 Procs, 515 Labels, 477 Branches, 0 / 7 kB covered
0 Procs, 517 Labels, 478 Branches, 0 / 7 kB covered
0 Procs, 519 Labels, 479 Branches, 0 / 7 kB covered
0 Procs, 521 Labels, 480 Branches, 0 / 7 kB covered
0 Procs, 523 Labels, 481 Branches, 0 / 7 kB covered
0 Procs, 525 Labels, 482 Branches, 0 / 7 kB covered
0 Procs, 527 Labels, 483 Branches, 0 / 7 kB covered
0 Procs, 529 Labels, 484 Branches, 0 / 7 kB covered
0 Procs, 531 Labels, 485 Branches, 0 / 7 kB covered
0 Procs, 533 Labels, 486 Branches, 0 / 7 kB covered
0 Procs, 535 Labels, 487 Branches, 0 / 7 kB covered
0 Procs, 537 Labels, 488 Branches, 0 / 7 kB covered
0 Procs, 539 Labels, 489 Branches, 0 / 7 kB covered
0 Procs, 541 Labels, 490 Branches, 0 / 7 kB covered
0 Procs, 543 Labels, 491 Branches, 0 / 7 kB covered
0 Procs, 545 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 546 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
0 Procs, 547 Labels, 492 Branches, 0 / 7 kB covered
