Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_snowman/other-052_empty_func/ia32_elf/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad |  521 | Skipping symbol _start with unknown location
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809f: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x0804809f
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x08048098
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809f: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x0804809f
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x080480a2: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x080480a1: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x080480a0: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809f: Address is not mapped to a section
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x0804809f: 0xFF 0xFF 0xFF 0xFF
Error | src/boomerang/db/proc/ProcCFG.cpp       |  331 | CFG is not well formed: BB at address 0x0804809f is incomplete
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0804809f: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x0804809f
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0001e240: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x0001e240
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0001e243: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0001e242: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0001e241: Address is not mapped to a section
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x0001e240: Address is not mapped to a section
Warn  | src/boomerang/frontend/DefaultFrontEnd. |  257 | Encountered invalid or unrecognized instruction at address 0x0001e240: 0xFF 0xFF 0xFF 0xFF
Error | src/boomerang/db/proc/ProcCFG.cpp       |  331 | CFG is not well formed: BB at address 0x0804809f is incomplete
Error | src/boomerang/core/Project.cpp          |  310 | Aborting load due to decode failure
